期刊全称,ISO缩写,ISSN,eISSN,标记原因,优先,备注,updated
Journal of Tropical Medicine,J TROP MED-US,1687-9686,1687-9694,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF ULTRASOUND IN MEDICINE,J ULTRAS MED,0278-4297,1550-9613,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,J URBAN HEALTH,1099-3460,1468-2869,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Kidney Medicine,KIDNEY MED,2590-0595,2590-0595,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Korean Journal of Family Medicine,KOREAN J FAM MED,2092-6715,2092-6715,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
KOREAN JOURNAL OF INTERNAL MEDICINE,KOREAN J INTERN MED,1226-3303,2005-6648,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
LASERS IN SURGERY AND MEDICINE,LASER SURG MED,0196-8092,1096-9101,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Legal Medicine,LEGAL MED-TOKYO,1344-6223,1344-6223,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Libyan Journal of Medicine,LIBYAN J MED,1993-2820,1819-6357,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Life Medicine,LIFE MED,,2755-1733,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Lupus Science & Medicine,LUPUS SCI MED,2053-8790,2053-8790,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
MAGNETIC RESONANCE IN MEDICINE,MAGN RESON MED,0740-3194,1522-2594,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,MAGN RESON MATER PHY,1352-8661,1352-8661,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Maternal-Fetal Medicine,MATERN-FETAL MED,2096-6954,2641-5895,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Mechanobiology in Medicine,MECHANOBIOL MED,,2949-9070,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
MEDICINE & SCIENCE IN SPORTS & EXERCISE,MED SCI SPORT EXER,0195-9131,1530-0315,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Medicine Advances,MED ADV,2834-4391,2834-4405,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Medicine in Novel Technology and Devices,MED NOV TECHNOL DEV,,2590-0935,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
MEDICINE SCIENCE AND THE LAW,MED SCI LAW,0025-8024,2042-1818,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
METHODS OF INFORMATION IN MEDICINE,METHOD INFORM MED,0026-1270,2511-705X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
MILITARY MEDICINE,MIL MED,0026-4075,1930-613X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,0098-2997,1872-9452,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Molecular Biomedicine,MOL BIOMED,,2662-8651,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
MOLECULAR MEDICINE,MOL MED,1076-1551,1528-3658,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Molecular Medicine Reports,MOL MED REP,1791-2997,1791-3004,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Montenegrin Journal of Sports Science and Medicine,MONTENEGRIN J SPORT,1800-8755,1800-8763,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Multidisciplinary Respiratory Medicine,MULTIDISCIP RESP MED,1828-695X,2049-6958,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Nanomedicine,NANOMEDICINE-UK,1743-5889,1748-6963,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Nanomedicine-Nanotechnology Biology and Medicine,NANOMED-NANOTECHNOL,1549-9634,1549-9642,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
NATURE MEDICINE,NAT MED,1078-8956,1546-170X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
NEUROMOLECULAR MEDICINE,NEUROMOL MED,1535-1084,1559-1174,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,0028-4793,1533-4406,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
NMR IN BIOMEDICINE,NMR BIOMED,0952-3480,1099-1492,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
npj Digital Medicine,NPJ DIGIT MED,2398-6352,2398-6352,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
npj Genomic Medicine,NPJ GENOM MED,,2056-7944,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
npj Primary Care Respiratory Medicine,NPJ PRIM CARE RESP M,,2055-1010,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
npj Regenerative Medicine,NPJ REGEN MED,,2057-3995,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
NUCLEAR MEDICINE AND BIOLOGY,NUCL MED BIOL,0969-8051,1872-9614,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Nuclear Medicine and Molecular Imaging,NUCL MED MOLEC IMAG,1869-3474,1869-3482,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
NUCLEAR MEDICINE COMMUNICATIONS,NUCL MED COMMUN,0143-3636,1473-5628,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
NUKLEARMEDIZIN-NUCLEAR MEDICINE,NUKLEARMED-NUCL MED,0029-5566,2567-6407,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,OCCUP ENVIRON MED,1351-0711,1470-7926,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
OCCUPATIONAL MEDICINE-OXFORD,OCCUP MED-OXFORD,0962-7480,1471-8405,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Open Access Emergency Medicine,OPEN ACCESS EMERG M,1179-1500,1179-1500,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Open Access Journal of Sports Medicine,OPEN ACCESS J SPORTS,1179-1543,1179-1543,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Open Medicine,OPEN MED-WARSAW,2391-5463,2391-5463,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Oral Surgery Oral Medicine Oral Pathology Oral Radiology,OR SURG OR MED OR PA,2212-4403,2212-4411,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Orthopaedic Journal of Sports Medicine,ORTHOP J SPORTS MED,,2325-9671,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PAIN MEDICINE,PAIN MED,1526-2375,1526-4637,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PALLIATIVE MEDICINE,PALLIATIVE MED,0269-2163,1477-030X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Pediatric Critical Care Medicine,PEDIATR CRIT CARE ME,1529-7535,1947-3893,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Pediatric Health Medicine and Therapeutics,PEDIATR HEALTH MED T,,1179-9927,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Perioperative Medicine,PERIOPER MED-LONDON,,2047-0525,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Personalized Medicine in Psychiatry,PERS MED PSYCHIAT,2468-1717,2468-1725,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Pharmaceutical Medicine,PHARM MED,1178-2595,1179-1993,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Pharmacogenomics & Personalized Medicine,PHARMACOGEN PERS MED,,1178-7066,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Philosophy Ethics and Humanities in Medicine,PHILOS ETHICS HUM ME,1747-5341,1747-5341,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Photobiomodulation Photomedicine and Laser Surgery,PHOTOBIOMOD PHOTOMED,,2578-5478,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,PHOTODERMATOL PHOTO,0905-4383,1600-0781,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Physical and Engineering Sciences in Medicine,PHYS ENG SCI MED,2662-4729,2662-4737,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Physical Medicine and Rehabilitation Clinics of North America,PHYS MED REH CLIN N,1047-9651,1558-1381,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PHYSICIAN AND SPORTSMEDICINE,PHYSICIAN SPORTSMED,0091-3847,2326-3660,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PHYSICS IN MEDICINE AND BIOLOGY,PHYS MED BIOL,0031-9155,1361-6560,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PHYTOMEDICINE,PHYTOMEDICINE,0944-7113,1618-095X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PLOS MEDICINE,PLOS MED,1549-1277,1549-1676,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,POL ARCH INTERN MED,0032-3772,1897-9483,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
POSTGRADUATE MEDICINE,POSTGRAD MED,0032-5481,1941-9260,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Practical Laboratory Medicine,PRACT LAB MED,,2352-5517,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Precision and Future Medicine,PRECIS FUTURE MED,2508-7940,2508-7959,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Precision Clinical Medicine,PRECIS CLIN MED,2096-5303,2516-1571,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Prehospital and Disaster Medicine,PREHOSP DISASTER MED,1049-023X,1945-1938,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Preventive Medicine,PREV MED,0091-7435,1096-0260,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Preventive Medicine Reports,PREV MED REP,,2211-3355,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Progress in Rehabilitation Medicine,PROG REHABIL MED,,2432-1354,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Psychedelic Medicine,PSYCHEDELIC MED,2831-4425,2831-4433,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PSYCHOLOGICAL MEDICINE,PSYCHOL MED,0033-2917,1469-8978,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Psychology Health & Medicine,PSYCHOL HEALTH MED,1354-8506,1465-3966,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
PSYCHOSOMATIC MEDICINE,PSYCHOSOM MED,0033-3174,,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Pulmonary Medicine,PULM MED,2090-1836,2090-1844,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,QJM-INT J MED,1460-2725,1460-2393,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Quantitative Imaging in Medicine and Surgery,QUANT IMAG MED SURG,2223-4292,2223-4306,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,Q J NUCL MED MOL IM,1824-4785,1827-1936,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Redox Experimental Medicine,REDOX EXP MED,,2755-158X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Regenerative Engineering and Translational Medicine,REGEN ENG TRANSL MED,2364-4133,2364-4141,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Regenerative Medicine,REGEN MED,1746-0751,1746-076X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
REGIONAL ANESTHESIA AND PAIN MEDICINE,REGION ANESTH PAIN M,1098-7339,1532-8651,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
REPRODUCTIVE BIOMEDICINE ONLINE,REPROD BIOMED ONLINE,1472-6483,1472-6491,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Reproductive Medicine and Biology,REPROD MED BIOL,1445-5781,1447-0578,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Research and Reports in Tropical Medicine,RES REP TROP MED,1179-7282,1179-7282,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Research in Sports Medicine,RES SPORTS MED,1543-8627,1543-8635,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
RESPIRATORY MEDICINE,RESP MED,0954-6111,1532-3064,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Respiratory Medicine and Research,RESPIR MED RES-FRANC,,2590-0412,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Reviews in Cardiovascular Medicine,REV CARDIOVASC MED,1530-6550,2153-8174,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Romanian Journal of Internal Medicine,ROM J INTERN MED,1582-3296,2501-062X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SAGE Open Medicine,SAGE OPEN MED,2050-3121,2050-3121,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Saudi Journal of Medicine & Medical Sciences,SAUDI J MED MED SCI,1658-631X,2321-4856,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,SCAND J MED SCI SPOR,0905-7188,1600-0838,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,SCAND J TRAUMA RESUS,1757-7241,1757-7241,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Science and Medicine in Football,SCI MED FOOTBALL,2473-3938,2473-4446,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Science Translational Medicine,SCI TRANSL MED,1946-6234,1946-6242,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Seminars in Fetal & Neonatal Medicine,SEMIN FETAL NEONAT M,1744-165X,1878-0946,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SEMINARS IN NUCLEAR MEDICINE,SEMIN NUCL MED,0001-2998,1558-4623,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SEMINARS IN REPRODUCTIVE MEDICINE,SEMIN REPROD MED,1526-8004,1526-4564,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,SEMIN RESP CRIT CARE,1069-3424,1098-9048,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Sexual Medicine,SEX MED-UK,,2050-1161,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Sexual Medicine Reviews,SEX MED REV,2050-0513,2050-0521,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SLEEP MEDICINE,SLEEP MED,1389-9457,1878-5506,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Sleep Medicine Clinics,SLEEP MED CLIN,1556-407X,1556-4088,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SLEEP MEDICINE REVIEWS,SLEEP MED REV,1087-0792,1532-2955,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Sleep Medicine-X,SLEEP MED-X,,2590-1427,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Smart Medicine,SMART MED,2751-1871,2751-1871,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SOCIAL SCIENCE & MEDICINE,SOC SCI MED,0277-9536,1873-5347,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,S AFR J HIV MED,1608-9693,2078-6751,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SPORTS MEDICINE,SPORTS MED,0112-1642,1179-2035,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
SPORTS MEDICINE AND ARTHROSCOPY REVIEW,SPORTS MED ARTHROSC,1062-8592,1538-1951,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Sports Medicine and Health Science,SPORTS MED HLTH SCI,2097-6291,2666-3376,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Sports Medicine-Open,SPORTS MED-OPEN,2199-1170,2198-9761,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
STATISTICS IN MEDICINE,STAT MED,0277-6715,1097-0258,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Stem Cells Translational Medicine,STEM CELL TRANSL MED,2157-6564,2157-6580,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Systems Biology in Reproductive Medicine,SYST BIOL REPROD MED,1939-6368,1939-6376,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TEACHING AND LEARNING IN MEDICINE,TEACH LEARN MED,1040-1334,1532-8015,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Telemedicine and e-Health,TELEMED E-HEALTH,1530-5627,1556-3669,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Telemedicine Reports,TELEMED REP,,2692-4366,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
THEORETICAL MEDICINE AND BIOETHICS,THEOR MED BIOETH,1386-7415,1573-1200,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Therapeutic Advances in Pulmonary and Critical Care Medicine,THER ADV PULM CRIT C,,2976-8675,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Tissue Engineering and Regenerative Medicine,TISSUE ENG REGEN MED,1738-2696,2212-5469,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,TOHOKU J EXP MED,0040-8727,1349-3329,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Traditional & Kampo Medicine,TRADIT KAMPO MED,,2053-4515,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Traditional Medicine Research,TRADIT MED RES,2413-3973,2413-3973,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,T ROY SOC TROP MED H,0035-9203,1878-3503,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TRANSFUSION MEDICINE AND HEMOTHERAPY,TRANSFUS MED HEMOTH,1660-3796,1660-3818,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TRANSFUSION MEDICINE REVIEWS,TRANSFUS MED REV,0887-7963,1532-9496,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Translational Behavioral Medicine,TRANSL BEHAV MED,1869-6716,1613-9860,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Translational Journal of the American College of Sports Medicine,TRANSL J AM COLL SPO,,2379-2868,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Translational Sports Medicine,TRANSL SPORTS MED,,2573-8488,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Travel Medicine and Infectious Disease,TRAVEL MED INFECT DI,1477-8939,1873-0442,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TRENDS IN CARDIOVASCULAR MEDICINE,TRENDS CARDIOVAS MED,1050-1738,1873-2615,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,1471-4914,1471-499X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Tropical Diseases Travel Medicine and Vaccines,TROP DIS TRAVEL MED,2055-0936,2055-0936,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
TROPICAL MEDICINE & INTERNATIONAL HEALTH,TROP MED INT HEALTH,1360-2276,1365-3156,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Tropical Medicine and Health,TROP MED HEALTH,1348-8945,1349-4147,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Tropical Medicine and Infectious Disease,TROP MED INFECT DIS,,2414-6366,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Turkish Journal of Emergency Medicine,TURK J EMERG MED,2452-2473,2452-2473,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Turkish Journal of Physical Medicine and Rehabilitation,TURK J PH MED REHAB,,2587-1250,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ULTRASOUND IN MEDICINE AND BIOLOGY,ULTRASOUND MED BIOL,0301-5629,1879-291X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Vasa-European Journal of Vascular Medicine,VASA,0301-1526,1664-2872,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
VASCULAR MEDICINE,VASC MED,1358-863X,1477-0377,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Visceral Medicine,VISC MED,2297-4725,2297-475X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Western Journal of Emergency Medicine,WEST J EMERG MED,1936-900X,1936-9018,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
WILDERNESS & ENVIRONMENTAL MEDICINE,WILD ENVIRON MED,1080-6032,1545-1534,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,WIRES NANOMED NANOBI,1939-5116,1939-0041,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
World Journal Of Emergency Medicine,WORLD J EMERG MED,1920-8642,1920-8642,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
World Journal of Traditional Chinese Medicine,WORLD J TRAD CHINESE,2311-8571,2589-2894,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE J BIOL MED,0044-0086,1551-4056,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
